id,english_expression,key_expression,korean_translation,category,source
655,How do I put this? It's a bit complicated.,How do I put this,어떻게 설명하지? 좀 복잡한데.,Work & Office,guseul
656,I think I left my sunglasses on the table.,leave,테이블에 선글라스를 두고 온 것 같아.,Work & Office,guseul
657,It was so generous of you to help. Thank you.,generous,도와줘서 정말 고마워. 정말 관대한 마음이야.,Work & Office,guseul
658,You got in? I'm so happy for you!,I'm so happy for you,합격했어? 나 너무 기쁘다!,Work & Office,guseul
659,The amount of emails I get every day is overwhelming.,overwhelm,매일 받는 이메일의 양이 정말 벅차.,Email & Phone,guseul
660,I'm overwhelmed by everyone's support. Thank you so much.,overwhelm,모두의 응원에 감동이 벅차오르네요. 정말 감사합니다.,Emotions & Opinions,guseul
661,When you get a chance could you review this document?,When you get a chance,시간될 때 이 문서 좀 검토해줄 수 있어?,Work & Office,guseul
662,If you get a chance the exhibition is really worth seeing.,If you get a chance,시간 된다면 그 전시회 정말 볼 만해.,Work & Office,guseul
663,This is going to be tough but let's roll up our sleeves and get to it.,roll up our sleeves,쉽지 않겠지만 적극적으로 임해서 해보자.,Work & Office,guseul
664,I want to make sure this is crystal clear before we move forward.,crystal clear,진행하기 전에 이 부분이 완전히 명확한지 확인하고 싶어요.,Work & Office,guseul
665,She's available 24-7. Just text her anytime.,24-7,그녀는 언제나 연락이 돼. 아무 때나 문자해.,Work & Office,guseul
666,Don't decide right now. Sleep on it and let me know tomorrow.,Sleep on it,지금 당장 결정하지 마. 생각해보고 내일 알려줘.,Work & Office,guseul
667,I'd love to but can I take a rain check? I have a deadline.,take a rain check,정말 가고 싶은데 다음으로 미뤄도 될까? 마감이 있어.,Meetings,guseul
668,I'd love to help but my plate is already full right now.,full,도와주고 싶은데 지금 내가 해야 할 게 너무 많아.,Work & Office,guseul
669,We can talk about it over coffee. Are you free tomorrow?,over,커피 마시면서 얘기하면 어때. 내일 시간 돼?,Social,guseul
670,I might have to work late again tonight. Don't wait up.,work late,오늘도 또 야근해야 할 것 같아. 기다리지 마.,Work & Office,guseul
671,What time do you usually get off? Let's grab dinner after.,get off,보통 몇 시에 퇴근해? 그 후에 저녁 먹자.,Social,guseul
672,All your hard work finally paid off. You should be proud.,hard work,그동안의 노력이 드디어 빛을 발했어. 자랑스러워해야 해.,Work & Office,guseul
673,What project are you working on these days?,working on,요즘 어떤 프로젝트 하고 있어?,Work & Office,guseul
674,Let's find a time that works for everyone. We'll work around your schedule.,work around your schedule,모두에게 맞는 시간을 찾아보자. 네 일정에 맞출게.,Work & Office,guseul
675,It's a tough problem but I know we can work through it together.,work through,어려운 문제이지만 같이 해결할 수 있다고 믿어.,Work & Office,guseul
676,I'm crashing. I need a pick-me-up. Let's get some snacks.,pick-me-up,기운이 없어. 기분 전환이 필요해. 간식 좀 먹자.,Work & Office,guseul
677,Whatever you decide is fine. It doesn't matter to me.,It doesn't matter to me,네가 뭘 결정하든 괜찮아. 나는 상관없어.,Work & Office,guseul
678,I'm honestly fine with whatever for dinner.,I'm honestly fine with whatever,저녁은 진짜 뭐든 괜찮아.,Social,guseul
679,Are you up for trying that new Thai place tonight?,Are you up for,오늘 밤 그 새 태국 식당 가볼래?,Work & Office,guseul
680,Are we still on for the meeting at 3?,still,3시에 회의 아직 유효해?,Meetings,guseul
681,Let me at least buy you coffee. I won't take no for an answer.,I won't take no for an answer,최소한 커피 한잔은 사게 해줘. 거절은 사절이야.,Social,guseul
682,I haven't slept in days. I could really use some rest.,could really use,며칠 동안 잠을 못 잤어. 진짜 쉬어야겠어.,Work & Office,guseul
683,You look tired. I thought you could use some tea.,you could use,피곤해 보여서 차 마시면 좋겠다 싶었어.,Work & Office,guseul
684,This is delicious! You should open a restaurant.,delicious,이거 진짜 맛있다! 식당 차려야겠는데.,Social,guseul
685,It's good but honestly I've had better.,I've had better,맛있긴 한데 솔직히 더 맛있는 것도 먹어봤어.,Work & Office,guseul
686,This soup is so full of flavor. What's in it?,full of flavor,이 수프 풍미가 정말 가득해. 뭐가 들어간 거야?,Work & Office,guseul
687,Something's off. It tastes a bit weird today.,Something,뭔가 이상해. 오늘 맛이 좀 다른 것 같아.,Work & Office,guseul
688,My nephew has such a sweet tooth. He can eat a whole cake.,sweet tooth,내 조카는 단 걸 정말 좋아해. 케이크를 통째로 먹을 수 있어.,Work & Office,guseul
689,I've been craving ramen all week. Let's finally go.,crave,일주일 내내 라멘이 당겼어. 드디어 가자.,Work & Office,guseul
690,Is there any way we could get a table a bit sooner?,Is there any way,좀 더 일찍 자리를 잡을 수 있는 방법이 있을까요?,Work & Office,guseul
691,My schedule is packed but I'll try to squeeze you in at 2.,squeeze you in,일정이 꽉 찼는데 2시에 짬을 내볼게.,Work & Office,guseul
692,The manual is full of technical terms. Can you speak English please?,speak English,설명서가 전문 용어로 가득해. 쉽게 설명해줄 수 있어?,Work & Office,guseul
693,I lied. There's actually one more thing I need to tell you.,I lied,앗 잘못 말했어. 사실 하나 더 말해야 할 게 있어.,Work & Office,guseul
694,Oh my bad. I sent that to the wrong person.,my bad,앗 내가 실수했네. 엉뚱한 사람한테 보냈어.,Work & Office,guseul
695,Oh stop it you're so silly! But seriously thanks for making me laugh.,you're so silly,그만해 너 참 엉뚱하다! 근데 진짜로 웃겨줘서 고마워.,Work & Office,guseul
696,This stupid printer keeps jamming at the worst time.,stupid,이 짜증나는 프린터가 최악의 타이밍에 계속 걸려.,Work & Office,guseul
697,Are you sure? I don't want you to go out of your way.,Are you sure?,정말 그래도 돼? 수고하게 하기 싫어서.,Work & Office,guseul
698,Can you look over my cover letter before I submit it?,look over,제출하기 전에 내 자기소개서 좀 봐줄 수 있어?,Work & Office,guseul
699,Let's go over the key points one more time before we wrap up.,go over,마무리하기 전에 핵심 내용을 한 번 더 살펴보자.,Meetings,guseul
700,The audit was very thorough. They didn't miss a single detail.,thorough,감사가 정말 꼼꼼했어. 세세한 부분 하나도 놓치지 않았어.,Work & Office,guseul
701,This is my go-to song whenever I'm stressed.,go-to,나 스트레스받을 때마다 즐겨 듣는 노래야.,Work & Office,guseul
702,Don't thank me. I know you would have done the same for me.,I know you would have done the same for me,고맙다고 하지 마. 너도 날 위해 똑같이 해줬을 거잖아.,Work & Office,guseul
703,I have no idea what to do next. That makes two of us.,That makes two of us,다음에 뭘 해야 할지 모르겠어. 나도 마찬가지야.,Work & Office,guseul
704,Just a quick question — is the deadline tomorrow or Friday?,quick question,간단한 질문인데 마감이 내일이야 아니면 금요일이야?,Meetings,guseul
705,You gave me your word. You can't back out now.,word,약속했잖아. 이제 물러설 수 없어.,Work & Office,guseul
706,You've been really quiet today. Is everything okay?,Is everything okay?,오늘 너무 조용하네. 다 괜찮아?,Work & Office,guseul
707,Thank you for the pep talk. I really needed that today.,pep talk,격려해줘서 고마워. 오늘 정말 필요했어.,Work & Office,guseul
708,Congratulations on the award. No one deserves it more.,No one deserves it more,수상 축하해. 그 누구보다 더 받을 자격이 있어.,Work & Office,guseul
709,Please make yourself comfortable while I get the paperwork ready.,make yourself comfortable,서류 준비하는 동안 편히 계세요.,Work & Office,guseul
710,We found a really cozy little spot for our study sessions.,cozy,공부할 때 딱 맞는 아늑한 공간을 찾았어.,Work & Office,guseul
711,The snow was so bad we were stuck inside all weekend.,was so bad we were stuck,눈이 너무 심해서 주말 내내 집에만 있었어.,Work & Office,guseul
712,When can I expect the delivery to arrive?,expect,배송이 언제쯤 도착할 거라고 생각하면 될까요?,Work & Office,guseul
713,Did you hear? They're having their first baby. She's expecting!,She's expecting,들었어? 첫째 낳을 예정이래. 임신 중이야!,Work & Office,guseul
714,Excuse me do you have a minute? I have a quick favor to ask.,do you have a minute?,실례지만 잠깐 시간 있으세요? 부탁드릴 게 있어서요.,Work & Office,guseul
715,Call me the minute you land. I'll be worried.,minute,착륙하자마자 전화해. 걱정될 거야.,Emotions & Opinions,guseul
716,Did you do your homework on the venue before booking?,homework,예약하기 전에 장소에 대해 미리 알아봤어?,Work & Office,guseul
717,I don't know how she juggles three kids and a full-time job.,juggle,어떻게 아이 셋에 정규직까지 다 해내는지 모르겠어.,Work & Office,guseul
718,This is nuts. We've been waiting for 2 hours.,nuts,이거 말도 안 돼. 2시간째 기다리고 있어.,Work & Office,guseul
719,My son is absolutely nuts about dinosaurs.,nuts about,내 아들이 공룡에 완전히 빠져 있어.,Work & Office,guseul
720,Don't worry. I'll cover for you. You're off the hook.,off the hook,"걱정 마, 내가 대신할게. 이번엔 벗어났어.",Work & Office,guseul
721,I hate making last-minute changes. It stresses everyone out.,last-minute,막판에 변경하는 거 정말 싫어. 모두를 스트레스받게 해.,Emotions & Opinions,guseul
722,It was a tough call but I think we made the right one.,call,어려운 결정이었지만 옳은 선택을 한 것 같아.,Work & Office,guseul
723,Could we take another look at this before sending it out?,Could we take another look at this,보내기 전에 이거 한번 더 봐도 될까요?,Work & Office,blaire
724,Bear with me for just a sec. I need to find the right file.,Bear with me for just a sec,잠깐만 기다려줘. 파일 찾아야 해.,Work & Office,blaire
725,I was wondering if you could help me with this presentation.,I was wondering if you could help me with this,이 발표 자료 좀 도와줄 수 있을까요?,Meetings,blaire
726,Would it be possible to change the meeting time?,Would it be possible to change,회의 시간을 변경하는 게 가능할까요?,Meetings,blaire
727,Could you take a look at my resume when you get a chance?,Could you take a look at my resume when you get a chance,시간 될 때 제 이력서 한번 봐줄 수 있어요?,Work & Office,blaire
728,I'm still confused. Could you walk me through that one more time?,Could you walk me through that one more time?,아직 잘 모르겠어요. 한 번 더 설명해줄 수 있어요?,Work & Office,blaire
729,I'd love to help but I'm afraid that won't be possible right now.,I'm afraid that won't be possible right now,도와드리고 싶은데 지금 당장은 어려울 것 같아요.,Emotions & Opinions,blaire
730,"I wish I could help, but that's really outside what I can do.","wish I could help, but that's really outside what I can do",도와드리고 싶은데 그건 정말 제 역할 밖의 일이에요.,Emotions & Opinions,blaire
731,This approach isn't working. We might need to explore other options.,We might need to explore other options,이 방법이 안 되고 있어. 다른 방법을 찾아봐야 할 것 같아.,Work & Office,blaire
732,I'd love to come but I have a conflict at that time.,I have a conflict at that time,가고 싶은데 그 시간에 일정이 겹쳐요.,Work & Office,blaire
733,I can't decide this alone. That's not really my call to make.,That's not really my call to make,나 혼자 결정할 수 없어. 내가 결정할 사안이 아니야.,Work & Office,blaire
734,Ask the manager about that. That's above my pay grade.,That's above my pay grade,그건 매니저한테 물어봐. 내 권한 밖이야.,Work & Office,blaire
735,It's a big decision. Let me sleep on it and get back to you.,Let me sleep on it,큰 결정이라서요. 생각해보고 다시 연락드릴게요.,Work & Office,blaire
736,"Before we proceed, I think there might be a slight issue here.",I think there might be a slight issue here,진행하기 전에 여기서 약간 문제가 있을 것 같아요.,Meetings,blaire
737,I respect your view but I have a slightly different take on this.,I have a slightly different take on this,의견은 존중하지만 저는 조금 다르게 봐요.,Work & Office,blaire
738,I'm not entirely sure about that. Let me double-check.,I'm not entirely sure about that,그 부분이 완전히 확실하지 않아요. 다시 확인해볼게요.,Work & Office,blaire
739,"If I were you, I might look at it from a different angle.",I might look at it from a different angle,내가 너라면 다른 각도에서 봐볼 것 같아.,Work & Office,blaire
740,"I see where you're coming from, but I think differently about this.","I see where you're coming from, but I think differently",무슨 말인지 알겠는데 이 부분은 저는 다르게 생각해요.,Work & Office,blaire
741,"That's a good point, but have you considered the cost?","That's a good point, but have you considered",좋은 지적이에요. 근데 비용도 고려해봤어요?,Work & Office,blaire
742,I like the overall design. Could we tweak this part a little?,Could we tweak this part a little?,전체적인 디자인은 좋은데 이 부분만 조금 수정할 수 있을까요?,Work & Office,blaire
743,"Good effort, but I think there's still room for improvement here.",think there's still room for improvement here,수고했는데 여기는 아직 개선할 여지가 있을 것 같아.,Work & Office,blaire
744,Love the direction. One small thing though — the font feels a bit off.,Love the direction. One small thing though,"방향은 마음에 들어요. 근데 딱 한 가지, 폰트가 좀 어색해요.",Work & Office,blaire
745,"No rush, but can you take a second look at this when you have time?",can you take a second look at this when you have time?,급하진 않은데 시간 날 때 이거 한번 더 봐줄 수 있어?,Work & Office,blaire
746,Have you thought about trying a different approach?,Have you thought about trying,다른 방법을 시도해보는 건 생각해봤어?,Work & Office,blaire
747,This part really stands out — it's exactly what the project needed.,This part really stands out,이 부분이 정말 돋보여요 — 프로젝트에 딱 필요한 거였어요.,Work & Office,blaire
748,"Before we move on, something came up that we need to address.",something came up that we need to address,다음으로 넘어가기 전에 짚고 넘어가야 할 게 생겼어.,Work & Office,blaire
749,I appreciate the effort but this isn't quite what I expected.,this isn't quite what I expected,수고는 했는데 제가 기대했던 것과는 조금 달라요.,Work & Office,blaire
750,Heads-up — there might be a slight delay on our end.,there might be a slight delay,미리 알려드려요. 저희 쪽에서 약간 지연될 수 있을 것 같아요.,Work & Office,blaire
751,I'm not sure what it is but something seems a bit off here.,something seems a bit off here,뭔지 모르겠는데 여기서 뭔가 좀 이상한 것 같아.,Work & Office,blaire
752,Take another look. Something doesn't seem quite right.,Something doesn't seem quite right,다시 봐봐. 뭔가 좀 이상한 것 같아.,Work & Office,blaire
753,I got the wrong package. I think there might have been a mix-up.,I think there might have been a mix-up,엉뚱한 물건이 왔어요. 뭔가 착오가 있었던 것 같아요.,Work & Office,blaire
754,Our team is facing a budget issue due to recent cost-cutting measures.,facing a budget issue due to recent,비용 절감 조치로 우리 팀이 예산 문제에 직면해 있어.,Work & Office,blaire
755,Before we fix anything we need to figure out the root cause first.,figure out the root cause,뭔가 고치기 전에 근본 원인부터 파악해야 해.,Work & Office,blaire
756,She tried to save money but ended up spending even more.,ended up spending,돈을 아끼려 했는데 오히려 더 많이 쓰고 말았어.,Work & Office,blaire
757,"You keep saying you'll come to the gym, but you never do.","You keep saying you'll come to the gym, but you never do",헬스장 간다 간다 하면서 한 번도 안 오잖아.,Daily Life,blaire
758,I don't mind working overtime if it helps the team.,don't mind working,팀에 도움이 된다면 야근하는 것도 괜찮아.,Work & Office,blaire
759,"Before you move abroad, consider saving up some money first.","Before you move abroad, consider saving",해외로 이사하기 전에 먼저 돈을 좀 모아둬.,Work & Office,blaire
760,We need to cut costs. It's a matter of survival right now.,It's a matter of survival,비용을 줄여야 해. 지금은 살아남는 게 중요해.,Work & Office,blaire
761,Could you say that again? I lost track of what you were saying.,I lost track of what you were saying,다시 말해줄 수 있어? 무슨 말 하는지 놓쳤어.,Work & Office,blaire
762,It was hard at first but after a week I got the hang of it.,got the hang of,처음엔 힘들었는데 일주일 지나니 감을 잡았어.,Work & Office,blaire
763,It makes sense to take breaks if you want to stay productive.,It makes sense to,생산성을 유지하고 싶다면 쉬는 게 맞아.,Work & Office,blaire
764,"To put things into perspective, we're still ahead of our competitors.",To put things into perspective,큰 그림으로 보면 우리는 아직 경쟁사들보다 앞서 있어.,Work & Office,blaire
765,I'm supposed to give a presentation at 3PM.,supposed to give,나 오후 3시에 발표를 하기로 되어 있어.,Meetings,blaire
766,I've got a plan to get fit before summer.,I've got a plan to,여름 전에 몸 만들 계획이 있어.,Work & Office,blaire
767,I can't stand sitting in traffic for over an hour.,can't stand sitting,한 시간 넘게 교통체증에 갇혀 있는 걸 못 참겠어.,Daily Life,blaire
768,I tried to get into classical music but it's just not my cup of tea.,not my cup of tea,클래식 음악에 빠져보려 했는데 그냥 내 취향이 아니야.,Work & Office,blaire
769,You can't afford to keep delaying this decision any longer.,can't afford to,더 이상 그 결정을 미룰 여유가 없어.,Work & Office,blaire
770,He managed to finish the marathon despite the heat.,managed to,더운 날씨에도 불구하고 마라톤을 완주해냈어.,Work & Office,blaire
771,The landlord plans on raising the rent next year.,plans on raising,집주인이 내년에 월세를 올릴 계획이래.,Daily Life,blaire
772,He claimed to be an expert but it turned out he had no experience.,turned out,전문가라고 했는데 알고 보니 경험이 전혀 없었어.,Work & Office,blaire
773,She needs a reality check if she thinks this plan will work overnight.,needs a reality check,이 계획이 하룻밤에 될 거라고 생각하면 현실을 직시해야 해.,Work & Office,blaire
774,She left early on purpose to avoid running into her ex.,on purpose,전 남자친구를 마주치지 않으려고 일부러 일찍 나갔어.,Work & Office,blaire
775,Don't ask me to do anything extra. I'm completely swamped right now.,I'm completely swamped,추가 업무는 부탁하지 마. 지금 일이 너무 밀려 있어.,Work & Office,blaire
776,Your coding skills might come in handy for this project.,come in handy,네 코딩 실력이 이 프로젝트에서 도움이 될 수도 있어.,Work & Office,blaire
777,The bus stopped running so I had no choice but to call a cab.,had no choice but to,버스가 끊겨서 택시를 부를 수밖에 없었어.,Daily Life,blaire
778,She goes as far as to drive two hours just to see her family.,goes as far as to,그녀는 가족을 보기 위해 두 시간씩 운전하는 것도 마다하지 않아.,Work & Office,blaire
779,I never saw losing my job coming like that.,never saw losing my job coming,그렇게 갑자기 직장을 잃게 될 줄 몰랐어.,Work & Office,blaire
780,He's really big on fitness. He goes to the gym every single day.,is really big on fitness,그는 운동에 진심이야. 매일 헬스장에 가.,Daily Life,blaire
781,Saving money every month is easier said than done.,easier said than done,매달 돈을 저금하는 건 말은 쉽지.,Work & Office,blaire
782,She learned to code from scratch and landed a tech job.,from scratch,코딩을 처음부터 독학해서 IT 회사에 취업했어.,Work & Office,blaire
783,I take pride in never being late to work.,take pride in,직장에 한 번도 늦은 적 없는 게 내 자랑이야.,Work & Office,blaire
784,We were so close to making the deadline but missed it by an hour.,were so close to making,마감을 딱 맞출 뻔했는데 한 시간 차이로 놓쳤어.,Meetings,blaire
785,Don't take your health for granted. You'll regret it later.,take your health for granted,건강을 당연하게 여기지 마. 나중에 후회해.,Work & Office,blaire
786,Before this gets worse let's set things straight between us.,set things straight,더 악화되기 전에 우리 사이에 오해를 풀자.,Work & Office,blaire
787,I was so tempted to skip the gym this morning.,was so tempted to,오늘 아침에 헬스장 빠질까 하는 생각이 너무 들었어.,Daily Life,blaire
788,Her silence speaks volumes. She must be upset.,speaks volumes,그녀의 침묵이 많은 걸 말해줘. 화가 난 게 분명해.,Emotions & Opinions,blaire
789,Writing is my bread and butter. I've been doing it for 10 years.,bread and butter,글쓰기가 내 생계야. 10년 동안 해왔거든.,Work & Office,blaire
790,"Money-wise, this deal doesn't make much sense.",wise,돈 측면에서 보면 이 거래는 별로 이득이 없어.,Work & Office,blaire
791,It took me a while to adjust to the new work schedule.,adjust to,새 근무 일정에 적응하는 데 시간이 좀 걸렸어.,Work & Office,blaire
